`id_partido`; `id_temporada`;num_jornada; `ds_dia_semana`; `fe_fecha`;ds_hora; `id_equipo_local`;ds_nombre_local; `id_equipo_visitante`;ds_nombre_visitante; `ct_odds_local`; `ct_odds_empate`; `ct_odds_visitante`; `ct_goles_local`; `ct_goles_visitante`;BTTS; `ct_xg_local`; `ct_xg_visitante`; `ct_asistencia`; `ds_estadio_partido`; `ds_arbitro`;Entrenador local;Entrenador visitante; `ct_possesion_local`; `ct_possesion_visitante`; `num_remates_local`; `num_remates_visitante`; `num_remates_puerta_local`; `num_remates_puerta_visitante`; `num_remates_fuera_local`; `num_remates_fuera_visitante`; `num_tarjetas_local`; `num_tarjetas_visitante`; `num_corners_local_1p`; `num_corners_visitante_1p`; `num_corners_local_2p`; `num_corners_visitante_2p`;Total corners; `num_faltas_local`; `num_faltas_visitante`; `num_fueras_juego_local`; `num_fueras_juego_visitante`;Tajerata roja local;Tajerata roja visitante;Minuto primera tarjeta roja; `ds_formacion_local`; `ds_formacion_visitante`; `m_gol_1_loc`; `m_gol_2_loc`; `m_gol_3_loc`; `m_gol_4_loc`; `m_gol_5_loc`; `m_gol_6_loc`; `m_gol_7_loc`; `m_gol_8_loc`; `m_gol_9_loc`; `m_gol_10_loc`; `m_gol_11_loc`; `m_gol_12_loc`; `m_gol_1_vis`; `m_gol_2_vis`; `m_gol_3_vis`; `m_gol_4_vis`; `m_gol_5_vis`; `m_gol_6_vis`; `m_gol_7_vis`; `m_gol_8_vis`; `m_gol_9_vis`; `m_gol_10_vis`; `m_gol_11_vis`; `m_gol_12_vis`
30;2024-2025;4;sabado;31/08/2024;17:00;12;Barcelona;17;Valladolid;1.20;7.50;13.00;7;0;0;4.77;0.52;44359;Estadi Ol√≠mpic Llu√≠s Companys;Isidro D√≠az de Mera;;;70;30;23;4;11;1;12;3;0;3;4;0;6;1;11;6;12;4;4;;;;NULL;NULL;20;64;72;24;45+2;82;85;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
31;2024-2025;4;sabado;31/08/2024;19:00;1;Athletic Club;20;AtlÈtico Madrid;2.7;3.3;2.63;0;1;0;0.29;1.73;48617;San Mam√©s;Alejandro Hern√°ndez;;;53;47;8;9;1;2;7;7;3;1;0;1;2;1;4;13;9;0;2;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;90+2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
32;2024-2025;4;sabado;31/08/2024;19:15;18;Espanyol;14;Rayo Vallecano;2.8;3.0;2.8;2;1;1;1.68;1.29;22405;RCDE Stadium;Adri√°n Cordero;;;47;53;10;17;3;5;7;12;3;2;1;2;2;5;10;14;16;0;3;;;;NULL;NULL;8;90+6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
33;2024-2025;4;sabado;31/08/2024;21:30;11;Valencia;19;Villarreal;2.55;3.25;2.8;1;1;1;1.07;0.51;43857;Estadio de Mestalla;Jes√∫s Gil;;;58;42;22;9;5;2;17;7;3;3;6;1;8;2;17;15;11;1;1;;;;NULL;NULL;24;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45+3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
34;2024-2025;4;sabado;31/08/2024;21:30;10;LeganÈs;15;Mallorca;2.8;2.75;3;0;1;0;0.32;1.02;10482;Estadio Municipal de Butarque;Mario Melero;;;54;46;9;12;2;3;7;9;1;3;1;2;0;1;4;11;17;3;0;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;43;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
35;2024-2025;4;domingo;01/09/2024;17:00;6;AlavÈs;7;Las Palmas;1.7;3.6;5.0;2;0;0;2.04;0.68;16386;Estadio de Mendizorroza;V√≠ctor Garc√≠a;;;29;71;15;12;5;6;10;6;3;0;3;2;3;2;10;13;9;1;0;;;;NULL;NULL;7;78;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
36;2024-2025;4;domingo;01/09/2024;17:00;9;Osasuna;5;Celta Vigo;2.45;3.25;3.0;3;2;1;0.96;1.69;19908;Estadio El Sadar;Juan Mart√≠nez;;;50;50;10;12;3;4;7;8;2;0;3;1;3;2;9;19;10;3;3;;;;NULL;NULL;21;45;62;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;29;90+1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
37;2024-2025;4;domingo;01/09/2024;19:00;8;Sevilla;4;Girona;2.75;3.75;2.35;0;2;0;0.97;1.94;35735;Estadio Ram√≥n S√°nchez Pizju√°n;Jose Maria S√°nchez;;;49;51;16;11;5;4;11;7;3;2;3;3;4;2;12;6;14;4;0;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;41;73;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
38;2024-2025;4;domingo;01/09/2024;19:15;2;Getafe;13;Real Sociedad;3.1;2.7;2.8;0;0;0;0.57;0.02;10929;Coliseum Alfonso P√©rez;Jos√© Luis Munuera;;;53;47;16;1;1;0;15;1;1;1;0;1;4;0;5;14;16;2;0;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
39;2024-2025;4;domingo;01/09/2024;21:30;16;Real Madrid;3;Real Betis;1.22;6.5;12.00;2;0;0;2.45;0.57;73072;Estadio Santiago Bernab√©u;Javier Alberola;;;60;40;22;11;7;2;15;9;2;0;4;1;3;2;10;9;17;1;2;;;;NULL;NULL;67;75;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
